Date,OFR FSI,Credit,Equity valuation,Safe assets,Funding,Volatility,United States,Other advanced economies,Emerging markets
12/1/2000,4.457,3.015,0.803,-0.402,0.927,0.114,3.662,0.77,0.025
12/4/2000,4.633,3.112,0.756,-0.398,1.019,0.144,3.75,0.857,0.026
12/5/2000,4.509,3.102,0.587,-0.441,1.128,0.133,3.577,0.877,0.055
12/6/2000,4.406,3.041,0.676,-0.445,0.975,0.159,3.487,0.865,0.054
12/7/2000,4.309,2.998,0.697,-0.45,0.836,0.228,3.411,0.844,0.054
12/8/2000,4.217,2.969,0.612,-0.455,0.936,0.155,3.313,0.84,0.064
12/11/2000,4.182,2.916,0.576,-0.414,0.923,0.181,3.267,0.842,0.073
12/12/2000,4.075,2.874,0.59,-0.434,0.819,0.226,3.193,0.81,0.072
12/13/2000,4.071,2.849,0.625,-0.506,0.888,0.215,3.229,0.754,0.088
12/14/2000,4.086,2.81,0.669,-0.507,0.793,0.321,3.242,0.759,0.085
12/15/2000,4.13,2.777,0.76,-0.558,0.736,0.415,3.344,0.713,0.073
12/18/2000,4.324,2.776,0.708,-0.55,0.858,0.532,3.526,0.724,0.074
12/19/2000,4.323,2.715,0.763,-0.525,0.925,0.445,3.55,0.695,0.078
12/20/2000,4.982,2.768,0.896,-0.607,1.088,0.837,4.1,0.789,0.093
12/21/2000,5.303,2.724,0.853,-0.572,1.531,0.767,4.406,0.8,0.097
12/22/2000,5.319,2.753,0.742,-0.583,1.762,0.645,4.408,0.811,0.1
12/26/2000,4.759,2.761,0.704,-0.569,1.14,0.723,3.848,0.812,0.099
12/27/2000,4.638,2.775,0.65,-0.573,1.081,0.705,3.708,0.827,0.103
12/28/2000,4.491,2.764,0.632,-0.539,1.017,0.617,3.542,0.842,0.107
12/29/2000,4.537,2.78,0.682,-0.545,1.014,0.606,3.574,0.857,0.106
1/2/2001,5.109,2.982,1.036,-0.617,0.946,0.762,4.053,0.952,0.104
1/3/2001,4.854,2.816,0.809,-0.528,1.082,0.675,3.894,0.848,0.112
1/4/2001,4.573,2.756,0.866,-0.602,0.869,0.684,3.691,0.772,0.11
1/5/2001,4.963,2.756,0.987,-0.668,1.036,0.852,4.118,0.735,0.11
1/8/2001,4.731,2.677,0.99,-0.639,0.797,0.906,3.914,0.705,0.112
1/9/2001,4.392,2.561,0.97,-0.619,0.663,0.817,3.606,0.677,0.109
1/10/2001,4.3,2.511,0.92,-0.555,0.607,0.817,3.495,0.698,0.107
